kode_limbah,nama_limbah,kategori,karakteristik,sumber_limbah,bentuk_limbah,kemasan_angkut,info_tambahan
B322-3,Sludge IPAL,2,Beracun,,,Drum Besi,Kategori bahaya 2 (PP 101/2014)
B323-1,"Sisa proses blasting [Manufaktur, perakitan, dan pemeliharaan kendaraan dan mesin",2,,,,,Kategori bahaya 2 (PP 101/2014)
B323-2,"Sludge Painting [Manufaktur, Perakitan, dan Pemeliharaan Kendaraan dan Mesin]",2,Beracun,,,Drum Besi,Kategori bahaya 2 (PP 101/2014)
B323-3,Potongan PCB tersolder,2,,,,,Kategori bahaya 2 (PP 101/2014)
B323-4,Scarp Timah Solder,2,Beracun,,,Drum Besi,Kategori bahaya 2 (PP 101/2014)
B323-5,Sludge IPAL,2,Beracun,,,Drum Besi,Kategori bahaya 2 (PP 101/2014)
B324-1,"Dross, Slag [Elektroplating dan Galvanis]",2,Beracun,,,Jumbo Bag,Kategori bahaya 2 (PP 101/2014)
B328-3,Residu solder dan fluxnya [Perakitan komponen elektronik atau peralatan elektronik],2,,,,,Kategori bahaya 2 (PP 101/2014)
B328-4,Printed circuit board (PCB),2,,,,,Kategori bahaya 2 (PP 101/2014)
B328-6,Sludge dari IPAL [Perakitan Komponen Elekltronika atau Peralatan Elektrnik],2,Beracun,,,Drum Besi,Kategori bahaya 2 (PP 101/2014)
B339-2,Tinta Toner [Fotografi],2,Beracun,,,Drum Besi,Kategori bahaya 2 (PP 101/2014)
B344-1,Sludge dari proses pengolahan metal hardening,2,,,,,Kategori bahaya 2 (PP 101/2014)
B344-2,Sludge IPAL,2,,,,,Kategori bahaya 2 (PP 101/2014)
B345-1,Sludge dari Proses Plastic Shaping [Metal dan Plastic Shaping],2,Beracun,,,Drum Besi,Kategori bahaya 2 (PP 101/2014)
B347-1,Residu pengolahan flue gas [Pengoperasi insenerator limbah],2,,,,,Kategori bahaya 2 (PP 101/2014)
B347-2,Filter & absorban bekas,2,,,,,Kategori bahaya 2 (PP 101/2014)
B347-3,Sludge IPAL [Lengoperasian Insinerator Limbah],2,Beracun,,,Jumbo Bag,Kategori bahaya 2 (PP 101/2014)
B351-3,Sludge Oil Treatment dan/atau Penyimpanan [Pulp dan Kertas],2,Beracun,,,"Drum Besi, Jumbo Bag",Kategori bahaya 2 (PP 101/2014)
B351-4,Sludge IPAL Pembuatan Produk Kertas Deinking,2,Beracun,,,"Drum Besi, Jumbo Bag",Kategori bahaya 2 (PP 101/2014)
B353-1,Toner Bekas [Fotokopi],2,Beracun,,,"Drum Besi, Jumbo Bag",Kategori bahaya 2 (PP 101/2014)
B354-2,Gelas Plastik dan Kayu yang Terkontaminasi B3 [Semua Jenis Industri Konstruksi],2,Beracun,,,"Drum Besi, Jumbo Bag",Kategori bahaya 2 (PP 101/2014)
B354-3,Limbah Logam yang Terkontaminasi B3,2,Beracun,,,"Drum Besi, Jumbo Bag",Kategori bahaya 2 (PP 101/2014)
B355-2,Baterai Bekas,2,Beracun,,,"Drum Besi, Jumbo Bag",Kategori bahaya 2 (PP 101/2014)
B401,Copper Slag,2,Beracun,,,Jumbo Bag,Kategori bahaya 2 (PP 101/2014)
B402,Steel slag,2,,,,,Kategori bahaya 2 (PP 101/2014)
B405,Iron Concentrate,2,Beracun,,,Jumbo Bag,Kategori bahaya 2 (PP 101/2014)
B407,Debu Besi/Baja,2,Beracun,,,Jumbo Bag,Kategori bahaya 2 (PP 101/2014)
B409,Fly Ash,2,Beracun,,,Jumbo Bag,Kategori bahaya 2 (PP 101/2014)
B410,Bottom Ash,2,Beracun,,,Jumbo Bag,Kategori bahaya 2 (PP 101/2014)
B411,Sludge IPAL,2,,,,,Kategori bahaya 2 (PP 101/2014)
B413,Spent bleaching earth,2,,,,,Kategori bahaya 2 (PP 101/2014)
B415,Kapur (CaCO3) Proses pembuatan pupuk amonium sulfat (zwavelzuur ammonia) pada industri pupuk,2,,,,,Kategori bahaya 2 (PP 101/2014)
B417,Refraktori Bekas yang Dihasilkan dari Fasilitas Termal,2,Beracun,,,Jumbo Bag,Kategori bahaya 2 (PP 101/2014)
A108c,Natrium Hidroksida,1,,,,,Kategori bahaya 1 (PP 101/2014)
B322-1,Dyestuffs dan Pigment Mengandung Bahan Kimia Berbahaya [Tekstil],2,Beracun,,,Drum Besi,Kategori bahaya 2 (PP 101/2014)
A322-3,Dyestuffs dan Pigment Mengandung Logam Berat,1,Beracun,,,Drum Besi,Kategori bahaya 1 (PP 101/2014)
B324-3,Sludge IPAL,2,Beracun,,,Jumbo Bag,Kategori bahaya 2 (PP 101/2014)
